thickness,TransportTimeAfterHeating,EnforcedTemperatureOfEntireSheet,QuenchingTimeInTool,QuenchingForce,spacing,DefaultToolTemperature,HARDNESS P1,THICKNESS P2
1.5171,24.1446,914.8173,8.7436,1099639.4214,1.6462,90.1314,391.3333,1.4886
1.4693,10.9891,932.4497,5.5047,1101597.8155,0.5555,218.8462,478.6667,1.4411
1.5037,13.4919,943.5496,3.9105,1674181.5181,1.4355,209.7077,477.3333,1.4749
1.5365,12.7129,912.8252,5.0412,1323660.7528,1.7278,263.1235,446.6667,1.5049
1.4663,22.475,936.1075,5.819,591514.9986,1.5324,169.6292,408.3333,1.4437
1.4907,18.4781,947.1004,7.6164,1894324.7228,0.6185,120.7148,441.3333,1.4645
1.4539,11.4101,948.698,3.6224,568143.3464,0.7442,157.6715,485.3333,1.4242
1.5351,18.0491,901.1449,3.0952,645000.4445,0.3161,211.2997,395.6667,1.5033
1.4576,16.1207,921.897,4.6123,1860993.8965,1.8259,253.8542,419.3333,1.4316
1.5134,12.4305,939.5833,9.2933,680364.8203,0.7042,130.9356,481,1.4818
1.5278,13.4583,938.732,5.4646,999498.6462,0.8412,268.1125,464.6667,1.4958
1.5257,16.3991,911.3369,9.7999,883771.3936,0.1831,193.3757,408.3333,1.4925
1.5238,22.4474,919.9289,5.9976,1347339.5441,0.119,122.5076,393.3333,1.4925
1.5499,15.055,900.7403,7.1519,1105060.1271,0.2036,196.8829,411.6667,1.5127
1.5434,18.6534,934.9012,2.5603,1896215.3045,0.1771,263.5587,411.3333,1.5081
1.5141,22.639,915.8034,8.3296,1583290.376,0.7321,208.1016,381.6667,1.4883
1.5229,22.1527,917.4502,2.4022,1682801.1014,1.8836,81.6458,394,1.4984
1.5052,18.788,914.9174,7.352,593438.3428,1.0013,203.8933,410,1.4792
1.5211,24.6835,944.2093,4.7789,1946941.4149,0.9184,259.1125,428.3333,1.4951
1.4556,12.8179,902.2038,4.0816,1542612.8098,1.354,287.8092,421.3333,1.43
1.4775,24.6395,930.9126,9.6631,1688898.7969,0.9864,88.1575,389.3333,1.4531
1.4798,12.66,934.4512,5.1379,1818068.026,0.9247,238.8465,470,1.4486
1.532,12.6149,917.9005,2.5397,967920.9683,1.8575,144.2141,464.6667,1.502
1.4858,18.4381,936.6542,9.2316,944992.5532,1.828,85.9562,428,1.4606
1.485,17.8262,925.2479,6.4896,1499151.192,0.9431,270.0797,403.3333,1.4583
1.5214,16.6842,906.7814,2.2485,1042748.5146,1.5651,228.0889,392.6667,1.4945
1.5467,10.9556,935.2354,7.6409,858165.9969,1.3216,84.4009,484.6667,1.5124
1.5151,16.9499,938.0158,8.9517,1088555.508,0.1427,231.5846,439,1.4805
1.5184,23.3364,918.4034,5.4693,1464707.7411,1.0276,198.1164,380.3333,1.4912
1.4948,20.2901,905.3951,5.287,617880.2617,0.5079,270.353,375,1.4691
1.4883,17.8881,949.405,7.705,1665843.4187,1.7855,242.2492,441,1.4609
1.5077,10.5233,907.4432,6.3614,1574572.6013,0.8901,195.8219,468.3333,1.4743
1.4909,11.5162,914.3963,7.1494,636580.3036,1.9125,235.1066,455.6667,1.4629
1.5483,13.8338,903.4888,8.9061,1032506.4468,1.2398,92.1131,438.3333,1.516
1.5268,24.3759,924.8526,8.069,936873.3609,0.2009,247.0009,389,1.4961
1.4712,14.1436,935.0003,2.4393,1107136.8312,1.6981,287.5862,439.6667,1.4469
1.4924,20.6355,916.1948,7.2793,1759675.0526,0.3567,121.2196,402,1.4655
1.4572,21.4142,948.4481,7.228,652479.5379,0.7517,138.4842,420,1.4352
1.469,21.1376,948.0462,6.7836,1461495.8054,1.1844,114.1739,425.6667,1.446
1.5177,12.6375,920.9619,6.9203,579568.5318,0.8729,247.7353,452,1.4886
1.5005,16.9272,929.5953,4.5278,1036827.294,1.9761,280.5946,417.6667,1.4753
1.5458,13.6323,947.7625,3.2036,1443876.9248,0.7118,278.2086,467.6667,1.5104
1.4959,15.01,939.8028,2.0801,1623609.3468,1.9216,136.3147,466.6667,1.4697
1.475,17.9399,912.6879,2.5987,803514.189,0.1157,113.4283,418,1.4502
1.5161,24.2792,940.1893,7.5922,698785.7553,1.375,225.2802,397.3333,1.4899
1.4949,10.2253,913.7377,3.3525,1953399.0958,1.257,135.499,479.6667,1.4635
1.5006,20.7272,939.0842,3.1608,776788.7522,1.2989,200.7298,414.3333,1.4766
1.5163,24.0117,931.0942,9.8739,1318466.3251,1.1161,92.4226,396.6667,1.4889
1.4778,13.4324,902.7567,5.2265,904731.4074,0.8525,198.043,430.6667,1.4535
1.5281,21.8528,913.1481,6.9512,1833952.9729,0.7479,112.2752,388.3333,1.502
1.4772,14.9602,928.2939,5.8962,1712014.8744,0.6755,107.7507,453.3333,1.4486
1.494,23.28,901.4775,5.9911,917533.0864,1.8992,200.6435,346.3333,1.4681
1.5088,19.1397,932.8012,2.2288,1918860.4558,0.9562,291.1224,396.3333,1.4811
1.5227,12.2164,938.4539,4.8301,1559096.9304,0.2817,105.9361,484.6667,1.4844
1.5175,11.5017,926.8554,4.2496,1472340.1896,0.5103,183.9254,478.6667,1.4827
1.4717,21.3854,911.7193,2.4796,751842.2958,1.1371,236.6935,386.3333,1.4489
1.5454,12.9354,949.1525,9.2833,1391195.9844,1.4168,134.6051,485,1.5101
1.4671,24.561,927.7351,7.5131,1247931.2872,1.5229,253.5447,391,1.4437
1.4855,17.6968,920.3015,7.4981,1191338.6626,0.5733,162.1723,408.6667,1.4606
1.4936,20.2603,928.5964,4.5895,1543120.7452,1.8465,93.2966,423,1.4694
1.4764,11.3839,912.6908,7.624,1428395.479,1.9886,241.6087,458.6667,1.4492
1.4942,21.9565,902.9809,4.9226,1579034.1234,1.3749,277.5166,360.3333,1.4674
1.5405,16.1079,911.9592,7.7555,1083579.6717,1.3045,119.1266,420.3333,1.5114
1.4928,19.941,912.4535,6.8004,1166014.3134,0.6928,205.7583,399,1.4665
1.5398,13.2181,928.4885,3.9458,1013138.0555,0.2421,116.8823,471.6667,1.5036
1.4726,13.8756,949.449,8.9271,1548029.4731,1.122,244.005,474,1.4427
1.4551,11.8656,942.6016,3.1019,1127789.7751,1.7889,148.1847,484.3333,1.4274
1.4509,19.8548,921.395,7.997,933340.6836,0.6146,155.5025,411,1.4287
1.539,13.8199,949.7532,2.0401,1268329.1926,0.2191,280.9971,444.3333,1.5029
1.4905,19.1786,934.0517,8.8425,1082052.3577,0.5505,149.7675,413,1.4661
1.477,20.1673,914.1471,2.9219,1007094.3794,1.5436,198.6227,398.3333,1.4548
1.4588,14.4699,923.2658,6.7665,1055085.1748,0.4304,251.5307,439.6667,1.4313
1.498,17.7541,913.4295,6.5977,1589843.4311,1.4148,187.7208,398,1.472
1.5114,11.9655,947.2097,5.7463,994865.3965,0.4503,280.3916,466.6667,1.4782
1.5395,15.3103,930.3454,9.5044,513208.1298,0.3054,155.0943,450.6667,1.5068
1.4531,24.168,930.7003,3.1443,1722395.5779,0.2711,206.9433,386.6667,1.4264
1.5134,16.4242,937.8786,2.6348,1899220.979,1.188,207.484,447.6667,1.487
1.518,18.1191,933.8053,7.7128,1615408.6291,1.4997,110.7609,429.3333,1.4928
1.4795,15.5057,914.4955,9.3979,1483503.4333,0.2767,117.2849,427.6667,1.4521
1.5402,15.7229,948.1293,7.2382,1151988.7336,1.7871,125.9596,472.3333,1.514
1.4646,22.5659,942.1345,8.2399,654660.4088,1.1346,126.8323,425,1.443
1.4503,17.5548,915.6315,2.465,991721.9099,1.5707,103.6552,405,1.4307
1.4587,16.3466,914.1969,9.4467,1647808.1483,0.2027,236.0536,407.6667,1.4297
1.492,13.7029,918.2905,7.2879,1308645.628,1.8648,194.0173,452.3333,1.4658
1.5218,15.9703,939.9747,2.2163,1947442.2612,0.9232,131.205,460.3333,1.4945
1.4925,18.7556,944.7484,4.8884,1269068.6736,1.2799,251.1248,424.6667,1.4648
1.4794,23.7378,939.5614,9.6553,1814899.9158,1.6581,234.4626,404.6667,1.4548
1.4822,20.5055,927.4127,4.5358,852476.6058,1.3673,142.6324,416,1.4596
1.5091,18.0565,931.4452,6.8442,1777834.0051,0.3932,199.2253,420.3333,1.4779
1.5492,23.9044,929.5464,5.2968,1930989.4067,0.3423,141.742,396,1.5192
1.5415,19.8526,915.0953,2.9489,584794.1889,1.7653,204.4968,404,1.5143
1.5471,23.5865,905.8154,9.0223,1873665.1484,1.5964,254.9479,353.6667,1.5179
1.4677,19.2388,918.4535,2.1363,687519.4763,0.6747,121.9219,413,1.446
1.5105,20.8161,903.5974,7.0355,1047387.7209,1.695,188.9925,374.3333,1.4847
1.4782,14.6,943.1416,8.6175,1828969.1257,0.7085,137.8525,471.6667,1.4508
1.5241,19.7496,927.5524,5.3664,759274.9959,1.7909,186.2074,414,1.4993
1.5358,21.8609,904.8607,9.4307,1901724.5746,0.9724,197.5561,368.3333,1.5072
1.4759,24.1733,939.0324,4.708,1084789.2081,1.8915,228.6661,397.6667,1.4528
1.543,17.6672,948.5968,6.3181,1351724.5795,1.7738,159.2644,454,1.5153
1.5339,20.005,904.7427,8.6796,1364511.3961,1.7004,97.3664,389.3333,1.5085
1.4943,22.2722,934.7885,9.4393,980452.1922,1.8776,241.0444,406.6667,1.4691
1.5135,11.4833,932.5482,6.6171,1724702.7417,0.3651,274.4228,461,1.4766
1.4935,21.2171,924.283,6.6915,1375195.2305,0.8786,223.0623,405.6667,1.4678
1.5345,23.012,905.3127,4.8094,973953.1348,0.2217,175.7747,359.3333,1.5042
1.4508,19.2231,918.0008,7.2081,1024925.2881,0.3285,279.1034,405.6667,1.4268
1.4533,16.2797,942.0163,9.0816,1522125.6468,1.7817,100.4144,456,1.4313
1.4598,10.6314,940.6645,8.5793,1790981.1839,0.8332,83.0857,488.6667,1.4284
1.4816,20.5254,941.8004,6.3316,1581626.9916,0.978,105.7355,413,1.4577
1.4504,12.5362,903.4006,7.4001,1449657.6998,0.6509,149.9532,444.6667,1.4202
1.4518,17.7219,937.6957,7.8421,1807811.0128,0.1589,100.5517,434.6667,1.4245
1.5235,22.5947,925.533,8.8124,1839692.5882,0.9211,153.4361,399,1.4977
1.4898,11.078,917.4552,6.2317,1038692.6919,1.2712,276.0168,450.6667,1.4622
1.5388,11.1273,927.8863,4.9004,1482263.9612,1.037,202.9457,479.6667,1.5046
1.4967,17.4933,900.8778,9.7519,1870836.6528,1.2467,247.9386,400,1.4694
1.4762,12.0657,923.0178,9.8639,1316086.7849,1.3471,124.7317,471.6667,1.4473
1.453,19.0138,912.0969,4.6159,1956288.3571,1.0108,172.629,406,1.4294
1.4613,13.0743,928.1457,2.8211,1819914.2169,0.9987,137.2598,468,1.432
1.536,21.8937,930.0985,8.1289,1670278.392,1.3728,168.7595,411,1.5075
1.5375,20.6962,933.1997,2.1764,1846244.007,1.5581,215.0695,422,1.5094
1.5473,17.4306,920.8525,7.8648,565064.2532,1.2302,241.998,401.6667,1.5173
1.4921,12.0559,914.5951,9.8797,1170792.7346,0.5119,172.7176,463,1.46
1.5421,13.0382,924.6764,7.4721,1327497.0428,1.45,283.9353,452,1.5088
1.5485,18.1469,901.1673,4.071,500245.8394,1.8146,298.1315,392,1.5189
1.4667,13.0229,933.5501,6.5572,1146369.7062,1.2835,284.2515,457,1.4375
1.4856,17.5376,907.7157,7.3031,826314.9506,0.2656,139.1592,414.6667,1.457
1.467,10.726,914.9998,8.5303,1754920.4455,1.692,193.802,471.3333,1.4365
